id,name,description,recommendedAttributes/0,recommendedAttributes/1,recommendedAttributes/2,recommendedStats/0,recommendedStats/1,requirements/0,requirements/1,requirements/2,ranks/0,ranks/1,ranks/2,ranks/3,ranks/4,ranks/5,ranks/6,ranks/7,ranks/8
24,Hunter,"Once you have set your mind to finding your target, they will never escape you. They can run, but they can't hide.",Per,Dex,Acc,Spd,HP,Successfully track a creature. ,Successfully hunt a moderate level threat and defeat it without initiating combat.,Successfully hunt a major level threat and defeat it without initiating combat.,You may mark a visible target as a minor action. Gaint +2 towards all perception and targeting related tests against the marked target. You may only mark one target at a time.,Target Vitals (3dp): Your attack automatically is considered to hit the vitals of the creature you have marked. You also deal +1d6 extra damage if the target was marked.,Your bonus for marking an enemy is now doubled for all moderate level threats and below.,When you mark a target you now gain +2 towards all damage rolls. (rank 3 doubling applies),Your bonus for marking an enemy is now doubled for all major level threats and below.,You may now mark a target as a free action once per turn.,Your bonus for marking an enemy is now doubled for all dire level threats and below.,You can now mark a number of targets equal to your perception attribute.,"Your bonus for marking an enemy is now doubled for all legendary level threats and below. In addition, you will always have a vague sense of where a marked target is."
25,Juggler,"Specialized in throwing all sorts of weapons or tools. Throw a dagger at an enemy, toss an ally a potion, or juggle flaming swords to impress a crowd.",Acc,Dex,Per,Spd,HP,Sucessfully throw an item in combat and hit your mark 3 times.,Catch an item thrown at you by an enemy in combat and throw it back.,Hit a single target with 3 thrown objects in one turn twice in a row. (on 2 subsequent turns for 6 total hits for a single target),"If you use a major action to throw an item in combat prior to making a movement action, you may move at double your normal movement speed during any subsequent movement actions.",Double Time (3dp) Throw two readied weapons/items at the same time. Make an attack roll for each.,"If an item is thrown at you in combat and you are able to dodge based on your defense, you may choose to catch the item as a Free Action instead of dodging it.","When you throw items, you no longer suffer a penalty for throwing past your short range.","When juggling to impress others as a Cha (Performance) test, you may now add your Throwing focus bonus to your test result.",You may throw any light weapon as a minor action.,"You may perform Double Time for 1 less doubles point.

Triple Time (4 dp) Throw three readdied weapons at the same time. Make an attack roll for each.",Your defense vs all physical projectiles is increased by your Acc (Throwing) focus bonus value.,You may modify any 1 of your weapons to turn it into a boomerang. It will return to you immediately after hitting a target and dealing damage.
26,Knight,Valient and honorable. The knight is the epitome of what a warrior should strive to become. Don't forget to save the damsel in distress.,Str,Hrt,End,HP,Spd,Help someone in need and choose to take nothing in return.,You can no longer accept compensation after helping someone,You can no longer turn down any sincere requests for help.,When defending someone you perceive to be innocent and virtuous you deal 1d6 extra physical damage and gain +2 to Heart (Courage) tests," Sword of Truth (4dp): As a paragon of virtue, your attack deals an extra 2d6 arcane damage to an unvirtuous foe.","Your dex penalty for armor is reduced by 1, and your armor is so shiny it halves the effective range of projectile weapons when fired against you. However you suffer a -1  towards Dex (Stealth) tests.",You are a Knight trained in the art of combat. When wielding Medium Weapons you cannot be disarmed or skirmished.,"You may now add your Hrt (Morality) focus modifier (+1, +2, or +3)  as bonus physical damage when making melee attacks.","You have gained enough fame to take on a squire. The squire must be willing, and respect you. It is your duty to instill in the squire your sense of virtues. Your squire starts as a lvl 3 Rank 1 knight.",Your dex penalty for wearing armor is now reduced by an additional 1 (2 total) and is so shiny now when being attacked the tie goes to defender [you] instead of the attacker. You suffer an additional -1 (-2 total) to Stealth though.,"When fighting unvirtuous foes your heroic aura protects you from gaining fatigue of any kind. Any fatigue you would have accumulated, gets applied after the battle. (this could kill you)",When fighting against truly unvirtuous foes your virtue shines through. Your blade deals an additional 2d6 damage and is considered to be arcane. (this may be combined with Sword of Truth)
27,Mage Hunter,"You specialize in hunting down and eliminating users of magic. Resist and deflect magic with your shield, and cut through their defenses with your sword.",Hrt,Str,Wis,HP,Spd,Kill a person or creature who uses magic. (you cannot use magic yourself),Negate an enemy spell  during combat 3 times.,Single handedly defeat 3 magic users in a single combat encounter.,Gain permanent arcane armor equal to your Mage Hunter level. You may also make Wis (Intuition) tests to detect traces of arcana. TN determined by the spell rating and time since the spell was cast. GM discretion,Spellbreaker (2dp): Your attack is able to disrupt arcane energy. You are able to negate any one ongoing novice level spell within 3m of your target. ,"When attacking a target that cast a spell within the last 3 rounds of combat, your attack deals extra damage equal to your level as a Mage Hunter.",Spells that target you increase the TN for the caster by 2.,The Spellbreaker stunt now applies to ongoing Adept level spells (4dp). AND Your physical armor now adds to your arcane armor.,"When you are targeted by an enemy spell whether it is successful or not, your next attack deals +2d6 extra damage towards that enemy as a counterattack.","Your infamy now alters the battle. After using any of your Mage Hunter abilities against an enemy mage of threat level major or below, the opponent must make a Hrt (Courage) test vs your Str (Intimidation) If they fail, they attempt to flee from battle, if they succeed, they must target you.",Your spellbreaker stunt can now disrupt ongoing master level spells (6dp).,While in combat all enemy spells must target you as long as both the caster and original target are within 50 m of your position.
28,Martial Artist,"Mastery of weapons, fast as the wind. Silent and deadly. You prefer subs over dubs.",Dex,Acc,Per,Spd,HP,The martial artist is proficeint in all manner of weapons. Land a hit with one weapon from each weapon category.,Successfully land an attack with 3 different weapons in a single combat encoutner.,Land and activate Paralyzing Blow against the same target two rounds in a row.,Attacks with martial weapons gain damage equal to your Dex attribute modifer. You may also carry a number of unequiped items equal to your Martial Artist rank without needing to pass a Weight requirement.,Martial Barrage (3dp): You may immediately make an attack with a different/unequiped weapon of yours with a +2 bonus to hit and end your attack with the new weapon.,Gain the minor action Precise Blow: Gives +3 to targeting attempts against an adjacent opponent with a martial weapon.,"As long as your Dex attribute is higher than your opponant's, you now no longer suffer from the foe getting to take an attack of opportunity against you when you disengage or flee from combat.",You may switch weapons once per turn as a free action. Every time you switch weapons you gain +2 towards hitting the opponent on your next attack.,"Major Action - Paralyzing blow, make a brawling attack aimed at the opponents chakra points. If your attack lands you deal 1d6+Dex physical damage. If this attack deals damage past the foe's armor the target loses their next major action.",Gain the Major Action: Sweeping Strike - When making a melee attack with a martial weapon you may hit a number of targets equal to the range of that weapon. (Use the same attack and damage roll),You may now perform Paralyzing Blow as a combat stunt with any martial weapon for 8dp.,Reduce the cost of all combat stunts by 2 dp. (minimum 1dp). 
29,Medic,"Deftly provides support while out in the field, dodging all attacks to bring aide and healing to their wounded teammates.",Int,End,Acc,Spd,HP,Must have attained Rank 1 in the Medicine Talent,Save a dying ally with the urgent care stunt,Use First Aid to help others recover 50 or more HP in a single encounter.,When you heal others with First Aid you may now add your Medic level to the amount of HP the target recovers.,Urgent Care (4dp): You may immediately move to an ally within movement speed range and provide a First Aid action.,Your knowledge of the body gives you a +2 towards targeting attacks for humanoid creatures.,You may now perform the First Aid action as a minor action. You may also improvise healing materials without penalty with the GM's discretion,You now have awareness of the health remaining for all allies and NPCs as a free action and the HP of foes as a minor action.,As the medic you must not fall and you have trained to avoid attacks. After healing someone gain +2 defense until your next turn.,"Out of combat, you may tend to up to 3 others while they are making a short rest where they gain the benefits of a long rest instead.",Your medical knowledge now allows you to bring back those others may have already declared dead. Roll a TN 21 Int (Healing) test to bring back a dead character. Add +3 for each round (minute) past death.,If an ally enters a dying state on the battlefield in your line of sight you may immediately take the effects of a conviction point without expending one of your conviction points.
30,Mentalist,"Manipulate the weak minded, confound the foolish, and become the center of attention. Their minds are like putty in your hands.",Wis,Cha,Dex,Spd,MP,Manipulate someone into acting in the way you desire.,"Finish a combat encounter that lasts at least 3 rounds, without being targeted by attacks.",Manipulate a foe into becoming an ally.,"You now have access to the Novice level spell in the Psychic arcanum for the Mentalist, as well as Psychic Shield and Psychic Contact.",Confusion (4dp): You have confused your foe and redirected their attention away from you to the target of your choosing the next round.,"During combat encounters roll a single dice. If 1-3, then all enemies below you in the initiative order ignore you for the first round of combat. If 4-6, then all enemies above you in the initiative order ignore you for the first round of combat","You now have access to the Adept level spell in the Psychic arcanum for the Mentalist, as well as Telepathy",You may now add your Cha attribute modifier towards your spell power when casting Mentalist spells.,"You have mastered the art of reading people. You can spend 10 minutes talking to someone and you will learn about their class, level, attributes, talents, speccializations, focuses, and background.","You now have access to the Master level spell in the Psychic arcanum for the Mentalist, as well as Psychic Trap",You can easily predict your enemies' next move. At the beginning of each combat encounter gain +2 to Dexterity or gain +4 to Perception.,Let the Show Begin! (Major Action) - Roll a Cha (Performance) vs their Hrt (Self-Discipline) to distract all creatures who fail into losing their next turn.
31,Monk,Meditation is the key to enlightenment. Channel your inner energy into your fists and bring balance to the world.,Hrt,Acc,Str,HP,Spd,Must have attained Rank 1 in the Zen Talent,"A Monk must endure intense mental, spiritual and physical training. Fast for 9 days straight. You will be in an Exhausted Fatigue state during this time.",A true monk knows that rage and anger must be kept at bay. Master your emotions. If you lose control of your emotions you will be unable to use your monk powers.,"Seek Enlightenment - When you take a 'Breather', make a Hrt (Meditation) roll to restore additional HP equal to half your test result (rounded down). ",Brawling - Crane Strike (3dp): Strike with your hand extended. This attack may disarm the opponent and their next attack will suffer a -2 penalty to hit.,Minor Action - Quick Jab - Make a quick brawling melee attack. This attack suffers a -2 to hit and cannot generate doubles points.,Your brawling attacks now deal bonus arcane damage equal to your Hrt attribute.,Your training as a monk has enabled you to use Defend as a minor action.,Seek Enlightenment can now be used to overcome debilitating effects or level 2 fatigue (drained). The Hrt (Meditation) TN varies by affliction/effect. ,Your brawling attacks now fully deal arcane damage instead of physical damage. (in addition to the bonus damage dealt from Monk-Rank 4),You may spend your entire turn in combat to perform Seek Enlightenment to gain the full effects of a 'Breather'. This normally takes 15 min. You can only perform this once per encounter.,Quick Jab no longer suffers any penalties to attack.
32,Necromancer,The Necromancer is a master over death itself. They study the deep and forbidden secrets long since forbidden by the Constellations. ,Int,End,Hrt,MP,HP,Disect and study a living creature while healing it to keep it alive. You must also know at least 1 Conjuration spell. ,Summon and command 10 undead to defeat an enemy.,Grant your Heroic Undead Commander a name and an undead legion. Provide it the opportunity to prove its loyalty to you.,You now have access to the Novice level spells in the Conjuration arcanum for the Necromancer. ,"Select one of the following summon spells: zombie, human skeleton, ghost
You may now summon an elite version of this creature (See Game Info/Creature Upgrade Table). Doing so will double the MP cost of summoning.","You may now summon an undead of any minor threat creature to use as a mount. This creature will be summoned as either a zombie, skeleton, or ghost depending on your rank 2 proficiency.",You now have access to the Adept level spells in the Conjuration arcanum for the Necromancer.,Your Elite creature may now be summoned as a Herioc version of that creature (See Game Info/Creature Upgrade Table). Doing this triples the cost of the original spell. This summon now has intelligence and command other undead in your stead. It will also stay summoned indefinitely until defeated.,Reduce the MP cost of your Necromancy spells by 1 for every visable dead creature within 30 m of you (undead do not count).,You now have access to the Master level spells in the Conjuration arcanum for the Necromancer.,Reanimate (6dp) - Bring back one the recently deceased to life. This undead creature has all of it's attributes decreased by 1 and will serve you for a number of rounds equal to it's new End attribute. Range 10m,Your heroic creature may now be summoned as an legendary version of that creature (See Game Info/Creature Upgrade Table). Doing this quadruples the cost of the original spell.
33,Noble,I'm very important. I have many leather-bound books and my apartment smells of rich mahogany.,Cha,Per,Hrt,HP,Spd,"The divine right of those born into nobility, or granted it from another noble.",Become the ruler of a town or small city,Become a ruler of  a major city or small nation.,Flaunting your nobility to someone now gives you a +2 bonus to your Charisma for the next 10 minutes. You may only do this once per day per target. This ability does not stack.,"Command Vassal (3dp): Your birthrite allows you to command those around you. Give a command to someone nearby, if they view you positively they will attempt to follow your command.","Dazzle - Whenever you attack an opponent with less Cha than you, the opponent suffers a -2 penalty to all rolls until the end of the round (resets at the beginning of initiative).",Whenever an ally generates doubles points you also gain a single doubles point. You must use that doubles point on your next turn. Stackable,All focuses you have gain an additional +1 when making tests.,Select a single attribute test focus. When making rolls for that test you always gain advantage.,Your defense is now equal to 10 + Charisma instead of 10 + Dex.,"Once per encounter, before rolling initiative, if you can communicate with the potential combatants, make a Cha (Persuasion) vs Hrt (Empathy). If you succeed the opponents must listen to what you have to say for 1 min, and cannot attack unless they are attacked first.",Select a single attribute group. When making any tests from that group you always have advantage. (does not stack with Rank 6)
34,Orator,"You are master of words and sound. Sticks and stones may break your bones, but an Orator's words WILL kill you.",Int,Per,Dex,HP,Spd,Must only be able to cast spells with verbal commands.,Learn how to cast Ward and Force Field. Cast both around yourself simultaneously to protect yourself while defeating an enemy with your voice.,Defeat 5 total enemies on your own with your voice without them seeing you.,You now have access to the Novice level spells in the Harmonic arcanum for the Orator,Whisper (1+dp): Whisper a message under your breath to communicate with any creature of your choice within 10m. Expending additional doubles points adds extra targets you can communicate with (1dp/target).,You may now add your Int (Harmonics) focus bonus to  Perception hearing tests,You now have access to the Adept level spells in the Harmonic arcanum for the Orator,You no longer need to see a target to cast Harmonic spells on them. As long as they can hear you you can affect them with arcana. Doing so adds a +2 to the spell's target number.,While Well Rested your Wards and Force Fields gain +2 to their spellpower.,You now have access to the Master level spells in the Harmonic arcanum for the Orator,Increase the TN that foes must roll to avoid the negative effects of Bass Boost by +3,You may now expend a level of fatigue to target all creatures within hearing range for any of your sound based spells.
35,Outrider,Your steed will carry you to the ends of the earth. Faster and faster you ride. Able to wield weapons with ease while mounted,Hrt,Dex,Str,HP,Spd,Tame or purchase a mountable creature,Obtain a tamed and mountable creature of a Moderate level threat or higher.,Obtain a tamed and mountable creature of a Major level threat or higher.,Select a tamed creature to be your loyal mount. You may now mount and dismount this creature as a free action. Your mount also gains a +2 Hrt (Courage) focus.,"Mounted attack - Mounted Strike (3dp): Your attack strikes with the power of your mount behind it, dealing 2d6 extra damage.",While mounted your defense increases by your mount's Dex attribute. Your mount's defense is unchanged.,The time with your mount brings them to an Elite version of their species. (See Game Info/Creature Upgrade Table),"The bond with your mount has deepened. When you make a mounted charge against a group of enemies, you may now make an attack against all of them. Your mount can also hear you when you call from up to 5 km away.",When making a mounted charge attack add the Strength attribute modifier of your mount as bonus physical damage.,The time with your mount brings them to a Heroic version of their species. (See Game Info/Creature Upgrade Table),"If you are able to mount a creature you may attempt to make a Hrt (Animal Handling) test vs the creature's Str (Intimidation), Hrt (Self-Discipline), or Wis (Survival). If you succeed, the creature will allow you to remain mounted and follow your directions until you dismount.","You and your steed now combine attributes while mounted. (ex your Str is 5 and your steed's is 4, so while mounted you both have 9)"
36,Pacifist,You have a strong aversion to violence and prefer to use your words and actions to diffuse  combat scenarios. All NPC adversaries have the potential to be convinced to halt combat and reach a peaceful resolution. ,Cha,Hrt,End,Spd,HP,Be attacked by an enemy and refuse to fight back.,Successfully initate peace talks and completely convince an NPC to choose a peaceful outcome.,You cannot engage in combat until you have attempted peace talks with every opponent at least twice.,"Peace Talks - Major Action - Appeal to an opponent by making any Cha test. The opponent must make an opposed Hrt (Morality) test. If you succeed, the target will stop fighting and you may talk with them. Some targets can only be convinced under very specific conditions. Each failed attempt grants the opponent +2 Hrt (Morality) for the remainder of the encounter.","Heartfelt Plea (2dp) - Use your words or body language to convince a sentient target to choose peace. The target must roll a TN 12 Hrt (Morality) test. If they fail, they may not intentionally deal damage on their next turn unless they are attacked before their next turn.",Gain +1 Defense towards all enemies that you have not attacked during a combat encounter.,"The peaceful look on your face results in many, except the most ruthless of enemies, to feel guilty when they attack you. Most opponents will talk to you while they attack you, and attempt to justify to themselves their actions. This may give you the information you need to convince them to choose peace.","You may now initaiate Peace Talks as a minor action. Likewise, initaiting Peace Talks with the leader of a group will usually result in the combat encounter pausing while the leader talks to you.","Upon failing Peace Talks due to a target requiring a specific condition or Cha focus, you may make a Hrt (Empathy) or Wis (Intuition) test vs the Target's Hrt (Morality) to learn more about the target.","Convincing one member of a group to engage in Peace Talks, now has a chance to convince all members. Each member rolls a Hrt (Morality) test with a +3 vs your Charisma roll. Any who fail will also halt combat to talk it out.","You may choose to spend more doubles points on Heartfelt Plea. For every additional doubles point spent, increase the Hrt (Morality) TN by 1.",Initiating Peace Talks with most characters is now guarenteed to result in a peaceful outcome. This does not apply to opponents who have special requirements to initiate Peace Talks with.
37,Paladin,Your strength comes from a higher power. You have sworn your life to one of the 8 Constellations and must follow their tennets or lose your power.,Hrt,End,Per,HP,Spd,Commit your life to one of the constellations and follow their tennents unwaveringly.,Fervently pray to your Constellation for at least 1 hour a day for 30 days. You must continue this prayer ritual going forward or you will lose access to these abilities.,Physically meet with and earn the trust of the Constellation you have sworn yourself to.,Gain the fortune of your Constellation,When interacting with other worshipers of your Constellation gain a bonus to your Charisma equal to your Hrt (faith) focus bonus.,"Gain the favor of your Constellation, and one adept level spell from your constellation's element. If you follow no constellation, you can choose from any elemental spell.",You may now cast spells of the same elemental type of your constellation with your Hrt (Faith) roll instead of Int (Elemancy).,Gain the gift of your Constellation,All damage from your melee or ranged weapons deals additional arcane damage equal to your Hrt+Faith bonus. This additional damage is elemental based on your Constellation's element.,Gain the blessing of your Constellation,Casting spells from your Constellation's element now cost 1/2 the required MP.,"Special Stunt: Wish (8dp) - Pray and ask of your Constellation a single wish, and they will answer your prayer as they see fit within their power.

For no constellation: Convenient Coincedence (8dp) - The DM chooses an extremely beneficial outcome for you."
38,Pirate,"Yaharrg matey, a pirates life be about sailing the seas (or lands or skies) in search of Treasure. Damned be the fools who get in your way!",Dex,Per,Acc,HP,Spd,Successfully attack and commandeer any vessel/vehicle.,"Plunder and steal from a vessel to gain 2,000 Credits worth of goods.",Own and captain a large vessel with a crew of at least 15.,You can now wield a pistol and melee weapon at the same time. If you made an attack with one of them on your turn you may make a second attack as a minor action with the other. This second attack does not generate doubles points and suffers a -2 to hit.,Dirty Fighting (4dp) - You deal a swift kick below the belt knocking your opponent prone and leaving them with -2 defense for the next 3 rounds,When riding on a vessel you gain +2 Defense and +2 towards Per (Initiative) tests.,"Attacking a prone, unconscious, inebriated, or otherwise incapacitated combatant grants you a bonus minor action once per turn.",When dual weilding pistols and melee weapons your off weapon no longer suffers an attack penalty. Likewise your minor attacks now generate up to 2 dp per attack.,"While aboard a vessel you captain, you gain +1 Cha (Leadership) and the entire crew gains +1 Dex and +1 Hrt.",Damage dealt from vessel weaponry is doubled.,You can now wield a blunderbus one-handed. Firing a blunderbus from one hand reduces your defense by 1 until your next turn.,"Belay That! - When an enemy within range takes an action, you may use your reaction to make a melee or ranged attack against that enemy as a free action.  Can only be used once per encounter."
39,Planes Walker,"Space-Time is no obstacle to you. Your pocket dimensions grant you incredible versatility, and your mobility is unmatched among mortals. This power comes from your otherworldy tattoos.",Wis,Int,Per,MP,HP,Get tattooed with an astral mark representing the Planes Walker,"Cast warp self 25 total times. If you can warp, you should warp.","Have at least 100 different creatures move through one of your Gates, and open a Gate to 10 unique locations.",You now have access to the Novice level spells in the Mysticism arcanum for the Planes Walker. ,"Allied Exchange (3dp) - You may select a willing ally to trade places with. This exchange occurs instantaneously, but the ally must be within your line of sight.",You are now more in tune with your astral mark. At night your mark glows with power. This power reduces the MP cost and TN of your Planes Walker spells by 1.,You now have access to the Adept level spells in the Mysticism arcanum for the Planes Walker,You may now cast Warp Self as a minor action.,While under the power of your Astral Mark at night you may attack with moving disks made from portals. Casting Gate as an attack will allow you to launch a portal in a single direction slicing into all enemies in that straight line path for 3d6 arcane damage for a total of 20m.,You now have access to the Master level spells in the Mysticism arcanum for the Planes Walker,"While your Warp Room is in effect, you may now exchange a number of creatures equal to your Wisdom modifier. (This number only increases for every even Wis value)",You may now freely cast Gate without a TN and for 1/2 MP to open a gate somewhere you have previously opened a gate.
40,Potions Master,"A Master at creating and administering potions of all kinds from deadly toxins, venoms, and poisons as well as restoritive, supportive, and strength potions.",Int,Per,Dex,Spd,HP,"Learn a recipe for, and brew, a basic level potion: (examples) Pain killer, hangover cure, warming potion, cooling potion, allergic itching poison. ",Brew a total of 15 potions. (5 must be unique),Successfully experiment with potions ingredients and formulate 3 unique new potions unknown to the general public.,"Learn the recipes for all common potions and poisons. Also you can now drink potions, feed others potions, and apply poisons as a free action in combat.",Pass it around (4dp) - Who knew this potion was so expertly made? Take a potion and pass it to all adjacent allies. It affects everyone who drinks it.,Learn recipes for all uncommon potions,"Select a potion specialty: Utility, Healing, Poison. When brewing potions of this category, you can now brew double the batch.",Learn recipies for all rare potions,"Take either Rank 4 for another potion type, or your previously chosen potion specialty now lets you brew triple the batch.",Learn recipies for all epic potions,"Take either Rank 4 for another potion type, or a previously chosen potion specialty now have double the duration of the effects.",Learn recipies for all legendary potions
41,Rampager,"Born of grief and loss, you gave into the darkness of your Berserker rage. Blinded to everything but masacre and destruction you rampage across the battlefield cleaving friend and foe alike.",Str,Acc,End,HP,Spd,As a Berserker suffer a great loss while enraged. Give into your rage and hate. Spare no one. Lose all Berserker levels and gain them as a Rampager. ,Slay 10 creatures while in a rampaging state.,"Enter a combat encounter while rampaging with at least 10 total creatures, and slay all of them.","As a minor action, you may enter a rampaging state. While rampaging your attacks deal +1d6 extra damage, and you gain +1 Accuracy. While in this state you must attack the nearest creature to you. Your rampaging ends when you can no longer see any creatures within 25 m of your location or you are knocked unconscious.",Deal an additional +1 damage for every creature slain while rampaging. This bonus resets once your rampaging state ends.,"While rampaging, you may now choose to attack EITHER the creature that dealt the most damage to you in the last round (if you can see them) OR the closest creature to you. ",You now automatically begin rampaging at the start of a combat encounter as a free action. (You cannot stop this),Your lvl 1 Rampaging bonus is now increased to +2d6 damage and +2 Accuracy,While rampaging you may now perform an additional melee attack as a minor action. Minor attacks made in this way cannot generate dp.,While rampaging you now gain advantage on all Str and End opposed tests vs another creature.,Your lvl 1 Rampaging bonus is now increased to +3d6 damage and +3 Accuracy,You are now always in a controlled rampaging state. Your rank 2 bonus damage only resets whenever you sleep. You can control your rampage as long as you have not been dealt damage.
42,Razor,Your power is proportional to your lifeforce. Your blood makes your weapons and abilities stronger. The weaker you become the stronger you are.,Dex,Per,Str,Spd,Spd,Fall into a dying state and survive.,Slay 3 enemies while at 10 HP or less. (This does not need to occur in the same encounter),Become addicted to being at low HP. Your body resists healing. You recover 1/2 the normal amount of HP from healing effects.,You may now use both of your minor actions while in the dying state. ,"Razor's Edge (3dp): Upon making a melee attack, roll a 3d6, you and your opponent both take this as physical damage with your attack.",Red Mist - While in a dying state your defense is increased by 3.,While in a dying state you may make all your actions as normal.,While in a dying state all your physical damage is considered to be penetrating,While in a dying state your physical and arcane armor is increased by 5.,While in a dying state Razor's Edge will not deal any damage to you.,The effects of Red Mist are doubled. Your defense while dying is now boosted to +6.,While in the dying state your physical and arcane armor is increased by 10.
43,Samurai,"Warriors of old, wielding techniques perfected and passed down through countless generations. There is very little, if anything, they hold more value in than their honor.",Dex,Str,Acc,HP,Spd,"Commit to following Bushido, the code of honor. 

Samurai wield katana, tanto, and bows. The katana is always used 2-handed",Choose a Lord to dedicate your blade to. OR Become a Ronin and dedicate your blade to serving those in need of your service.,"If you ever break your Code of Bushido, you must prepare yourself to take your own life by committing Seppuku","When your blade is sheathed, and no other weapon is drawn,  gain +1 Def.  Drawing or sheathing the blade is considered to use the Activate action.",Strengthen Resolve (2+dp) - Focus your willpower to improve your NEXT test result by 1 per 2 doubles points spent.,"Enter a stance as a minor action. Gain access to the following stances:

Ho Ryu (Fire stance) - Ignore the negative effects of the first 3 Fatigue Levels

Tsu Ryu (Earth stance) - Movement halved, gain +3 phys armor, can't be knocked prone","Gain access to the following stances:

Mizu Ryu (Water stance) - Gain an additional +1 def when your blade is sheathed and your bow is unequiped.

Kaze Ryu (Wind stance) - You may make a second attack with your blade as a minor action or reload and a second attack with your bow as a minor action. The second attack cannot generate doubles points.",Attacking immediately after drawing your blade grants you +1 to hit and +2 damage. ,"Gain access to the following stances:

Rai Ryu (Lightning stance) - When making a ranged attack with your bow you may fire two arrows in rapid succession. This may also be used to split and arrow to hit 3 targets or bounce one arrow off another to hit around the corner.

Tetsu Ryu (Metal stance) - You can attack all enemies around you within the range of your blade with a single attack roll. Roll damage separately.  ",You may now change samurai stances as a free action once per turn.,"Gain access to the following stances:

Fuzai Ryu (Vacuum stance) - All physical damage rolls are now considered arcane.

Kori Ryu (Ice stance) - Your movement speed is now doubled.",Ryujin - Minor action - Deal 3d6 arcane damage to a single foe with your blade. This damage is considered to be elemental based on your stance.
44,Seer,"Visions and insight have always come to you in dreams or awake. Some of them come to pass exactly the way you have seen them, others you try to keep coming to pass.",Wis or Per,Int,Hrt,MP,Spd,Accurately predict an event that eventually comes to pass within the next few hours. (max one guess per day),Accurately predict a monumental event that eventually comes to pass within the next few days. (max one guess per week),Accurately predict a word changing event that eventually comes to pass within the next few weeks. (max one guess per month),You now have access to the Novice level spells in the Visionary arcanum for the Seer,"Unseen Eyes (3dp) - You are made aware if there is anything watching, stalking, listening to, or sneaking up on you. You know the general direction of your watcher.","You may now cast your Visionary arcana by using a Per (Seeing) test instead of Wis (Visionary), and vice-versa.",You now have access to the Adept level spells in the Visionary arcanum for the Seer,You are now obsured from the effects of others visionary arcana.,"You may now maintain your Scrying Orb spell and Far Scry as a free action, and cast spells through them. In order to cast spells through Far Scry, you must cast it with at least 2 senses.",You now have access to the Master level spells in the Visionary arcanum for the Seer,Your visionary prowess allows you to predict attacks before you are hit. You may now add your Perception attribute modifier to your defense. ,"You have seen many things, your mind has sharpened, your will has strengthened, and you are now protected from the worst effects of opening your Wizard's Sight. Likewise, maintaining your Wizard's Sight is now a free action."
45,Shade,"You merely adopted the dark; I was born in it, moulded by it. I didn't see the light until I was already a man, by then it was nothing to me but BLINDING!",Dex,Acc,Wis,Spd,MP,Slay a person in the darkness as they are sleeping. ,Spend 72 hours in complete darkness. If you experience any light during this time you must restart.,While in the light of day your Attributes are all decreased by 1. Clothing does not protect against this.,While in the absolute darkness gain +2 to Dex (Stealth) tests. Gain the ability to see in the dark up to 20 m if you cannot already.,"Into the Darkness (3dp) - At the end of your action, if you are in the light you may move up to twice your movement speed to find an area in the shadows or darkness.",You learn the Illusion spell: Shadow Slip,While shrouded by darkness your damage rolls increase by 1d6,While in complete darkness your defense is increased by 2.,You learn the Illusion spell: Invisibility. When you cast invisibility you are considered to be shrowded in darkness.,You may now cast Shadow Slip for 3 MP instead of 6.,Whenever you slay an enemy their corpse is dragged into a shadow dimension that you can freely remove them from later.,Performing attacks no longer breaks invisibility.
46,Shaman,Your spores can only infect biological organisms. You are seriously one fun guy!,Wis,End,Int,MP,HP,"Survive after eating a poisonous mushroom, or after being infected by a fungal disease.",Allow the fungus you cultivate to spread over your entire body. Giving your skin a sickly look and smell.,Become the host for a small colony of at least 1000 insects,"You grow and cultivate a paralytic fungus somewhere on your body.

Fungal Exposure - Major Action - You may spread this fungus to someone you touch. The exposed target must roll a TN 13 End (Poison Res) test or they take 1d6 penetrating damage and they lose a minor action.",You now have access to the Novice level spells in the Animism arcanum for Shamans,"Fungal Exposure and your spore based spells are now airborne (they are still single target, unless otherwise stated). They have a base range of 10 meters from your location depending on wind speed and direction.","The fungus you grow on your body has evolved. 

Fungal Exposure now requires a TN 18 End (Poison Res) test. Failure results in the target taking 3d6 penetrating damage in addition to losing a minor action. ",You now have access to the Adept level spells in the Animism arcanum for Shamans. ,Fungal Exposure and your spore based spells can now be carried by small flying insects. These can be transmitted up to a range of 50 meters.,"The fungus you grow on your body has evolved. 

Fungal Exposure now requires a TN 18 End (Poison Res) test. Failure results in the target taking 5d6 penetrating damage in addition to losing a minor action. ",You now have access to the Master level spells in the Animism arcanum for Shamans,"You may now cast Death Cap onto an insectoid that you control. Instead of concentrating, when the insectoid dies these spores are released infecting all targets within a 10m radius of the dead insectoid."
