id,name,description,origin
224,Hunter: Rank 9,"Your bonus for marking an enemy is now doubled for all legendary level threats and below. In addition, you will always have a vague sense of where a marked target is.",specialization
225,Juggler: Rank 1,"If you use a major action to throw an item in combat prior to making a movement action, you may move at double your normal movement speed during any subsequent movement actions.",specialization
226,Juggler: Rank 3,"If an item is thrown at you in combat and you are able to dodge based on your defense, you may choose to catch the item as a Free Action instead of dodging it.",specialization
227,Juggler: Rank 4,"When you throw items, you no longer suffer a penalty for throwing past your short range.",specialization
228,Juggler: Rank 5,"When juggling to impress others as a Cha (Performance) test, you may now add your Throwing focus bonus to your test result.",specialization
229,Juggler: Rank 6,You may throw any light weapon as a minor action.,specialization
230,Juggler: Rank 7,You may now perform Double Time for 2 less doubles points.,specialization
231,Juggler: Rank 8,You may choose to catch all items thrown at you regardless of your defense or the opponent's attack roll.,specialization
232,Juggler: Rank 9,You may modify any 1 of your weapons to turn it into a boomerang. It will return to you immediately after hitting a target and dealing damage.,specialization
233,Knight: Rank 1,When defending someone you perceive to be innocent and virtuous you deal 1d6 extra physical damage and gain +2 to Heart (Courage) tests,specialization
234,Knight: Rank 3,"Your dex penalty for wearing armor is reduced by 1, and your armor is so shiny it halves the effective range of projectile weapons when fired against you. However you suffer a -1  towards Dex (Stealth) tests.",specialization
235,Knight: Rank 4,"You are a Knight trained in the art of combat. When wielding Medium Weapons you cannot be disarmed, skirmished, or knocked prone.",specialization
236,Knight: Rank 5,"You may now add your Hrt (Morality) focus modifier (+1, +2, or +3)  as bonus physical damage when making melee attacks.",specialization
237,Knight: Rank 6,"You have gained enough fame to take on a squire. The squire must be willing, and respect you. It is your duty to instill in the squire your sense of virtues. Your squire starts as a lvl 3 Rank 1 knight.",specialization
238,Knight: Rank 7,Your dex penalty for wearing armor is further reduced by 1 and is now so shiny that when you are being attacked the tie goes to defender [you] instead of the attacker. You suffer an additional -1 (-2 total) to Stealth though.,specialization
239,Knight: Rank 8,"When fighting unvirtuous foes your heroic aura protects you from gaining fatigue of any kind. Any fatigue you would have accumulated, gets applied after the battle. (this could kill you)",specialization
240,Knight: Rank 9,When fighting against truly unvirtuous foes your virtue shines through. Your blade deals an additional 2d6 damage and is considered to be arcane. (this may be combined with Sword of Truth),specialization
241,Mage Hunter: Rank 1,Gain permanent arcane armor equal to your Mage Hunter level. You may also make Wis (Intuition) tests to detect traces of arcana. TN determined by the spell rating and time since the spell was cast. GM discretion,specialization
242,Mage Hunter: Rank 3,"When attacking a target that cast a spell within the last 3 rounds of combat, your attack deals extra damage equal to your level as a Mage Hunter.",specialization
243,Mage Hunter: Rank 4,Spells that target you increase the TN for the caster by 2.,specialization
244,Mage Hunter: Rank 5,The Spellbreaker stunt now applies to ongoing Adept level spells (for 4dp). AND Your physical armor now adds to your arcane armor.,specialization
245,Mage Hunter: Rank 6,"When you are targeted by an enemy spell whether it is successful or not, your next attack deals +2d6 extra damage towards that enemy as a counterattack.",specialization
246,Mage Hunter: Rank 7,"Your infamy now alters the battle. After using any of your Mage Hunter abilities against an enemy mage of threat level major or below, the opponent must make a Hrt (Courage) test vs your Str (Intimidation) If they fail, they attempt to flee from battle, if they succeed, they must target you.",specialization
247,Mage Hunter: Rank 8,Your spellbreaker stunt can now disrupt ongoing master level spells (for 6dp).,specialization
248,Mage Hunter: Rank 9,While in combat all enemy spells must target you as long as both the caster and original target are within 50 m of your position.,specialization
249,Martial Artist: Rank 1,Attacks with martial weapons gain damage equal to your Dex attribute modifer. You may also carry a number of unequiped weapons equal to your Martial Artist rank without needing to pass a Weight requirement.,specialization
250,Martial Artist: Rank 4,"As long as your Dex attribute is higher than your opponant's, you now no longer suffer from the foe getting to take an attack of opportunity against you when you disengage or flee from combat.",specialization
251,Martial Artist: Rank 5,You may switch weapons once per turn as a free action. Every time you switch weapons you gain +2 towards hitting the opponent on your next attack.,specialization
252,Martial Artist: Rank 8,You may now perform Paralyzing Blow as a combat stunt with any martial weapon for 8dp.,specialization
253,Martial Artist: Rank 9,Reduce the cost of all combat stunts by 2 dp. (minimum 1dp). ,specialization
254,Medic: Rank 1,When you heal others with First Aid you may now add your Medic level to the amount of HP the target recovers.,specialization
255,Medic: Rank 3,Your knowledge of the body gives you a +2 towards targeting attacks for humanoid creatures.,specialization
256,Medic: Rank 4,You may now perform the First Aid action as a minor action. You may also improvise healing materials without penalty with the GM's discretion,specialization
257,Medic: Rank 6,As the medic you must not fall and you have trained to avoid attacks. After healing someone gain +2 defense until your next turn.,specialization
258,Medic: Rank 7,"Out of combat, you may tend to up to 3 others while they are making a short rest where they gain the benefits of a long rest instead.",specialization
259,Medic: Rank 8,Your medical knowledge now allows you to bring back those others may have already declared dead. Roll a TN 21 Int (Healing) test to bring back a dead character. Add +3 for each round (minute) past death.,specialization
260,Medic: Rank 9,If an ally enters a dying state on the battlefield in your line of sight you may immediately take the effects of a conviction point without expending one of your conviction points.,specialization
261,Mentalist: Rank 3,"During combat encounters roll a single dice. If 1-3, then all enemies below you in the initiative order ignore you for the first round of combat. If 4-6, then all enemies above you in the initiative order ignore you for the first round of combat",specialization
262,Mentalist: Rank 5,You may now add your Cha attribute modifier towards your spell power when casting Mentalist spells.,specialization
263,Mentalist: Rank 6,"You have mastered the art of reading people. You can spend 10 minutes talking to someone and you will learn about their class, level, attributes, talents, speccializations, focuses, and background.",specialization
264,Mentalist: Rank 8,You can easily predict your enemies' next move. At the beginning of each combat encounter gain +2 to Dexterity or gain +4 to Perception.,specialization
265,Monk: Rank 1,"When you take a Breather (15 min rest) you may meditate in an attempt to ""Seek Enlightnenment"" by making a Hrt (Meditation) roll to restore additional HP equal to half your test result (rounded down). ",specialization
266,Monk: Rank 4,Your brawling attacks now deal bonus arcane damage equal to your Hrt attribute.,specialization
267,Monk: Rank 5,Your training as a monk has enabled you to use Defend as a minor action.,specialization
268,Monk: Rank 6,"""Seeking Enlightenment"" while resting can now be used to overcome debilitating effects or level 2 fatigue (drained). The Hrt (Meditation) TN varies by affliction/effect. ",specialization
269,Monk: Rank 7,Your brawling attacks now fully deal arcane damage instead of physical damage. (in addition to the bonus damage dealt from Monk-Rank 4),specialization
270,Monk: Rank 8,"You may spend your entire turn in combat to ""Seek Enlightenment"" to gain the full effects of a 'Breather'. This normally takes 15 min. You can only perform this once per encounter.",specialization
271,Monk: Rank 9,Quick Jab no longer suffers any penalties to attack.,specialization
272,Necromancer: Rank 2,"Select one of the following summon spells: zombie, human skeleton, ghost
You may now summon an elite version of this creature (See Game Info/Creature Upgrade Table). Doing so will double the MP cost of summoning.",specialization
273,Necromancer: Rank 3,"You may now summon an undead of any minor threat creature to use as a mount. This creature will be summoned as either a zombie, skeleton, or ghost depending on your rank 2 proficiency.",specialization
274,Necromancer: Rank 5,Your Elite creature may now be summoned as a Herioc version of that creature (See Game Info/Creature Upgrade Table). Doing this triples the cost of the original spell. This summon now has intelligence and command other undead in your stead. It will also stay summoned indefinitely until defeated.,specialization
275,Necromancer: Rank 6,Reduce the MP cost of your Necromancy spells by 1 for every visable dead creature within 30 m of you (undead do not count).,specialization
276,Necromancer: Rank 9,Your heroic creature may now be summoned as an legendary version of that creature (See Game Info/Creature Upgrade Table). Doing this quadruples the cost of the original spell.,specialization
277,Noble: Rank 1,Flaunting your nobility to someone now gives you a +2 bonus to your Charisma for the next 10 minutes. You may only do this once per day per target. This ability does not stack.,specialization
278,Noble: Rank 3,"Whenever you attack an opponent with less Cha than you, the opponent suffers a -2 penalty to all rolls until the end of the round (resets at the beginning of initiative).",specialization
279,Noble: Rank 4,Whenever an ally generates doubles points you also gain a single doubles point. You must use that doubles point on your next turn. Stackable,specialization
280,Noble: Rank 5,All focuses you have gain an additional +1 when making tests.,specialization
281,Noble: Rank 6,Select a single attribute test focus. When making rolls for that test you always gain advantage.,specialization
282,Noble: Rank 7,Your defense is now equal to 10 + Charisma instead of 10 + Dex.,specialization
283,Noble: Rank 8,"Once per encounter, before rolling initiative, if you can communicate with the potential combatants, make a Cha (Persuasion) vs Hrt (Empathy). If you succeed the opponents must listen to what you have to say for 1 min, and cannot attack unless they are attacked first.",specialization
284,Noble: Rank 9,Select a single attribute group. When making any tests from that attribute you always have advantage. (does not stack with Rank 6),specialization
285,Orator: Rank 3,You may now add your Int (Harmonics) focus bonus to  Perception hearing tests,specialization
286,Orator: Rank 5,You no longer need to see a target to cast Harmonic spells on them. As long as they can hear you you can affect them with arcana. Doing so adds a +2 to the spell's target number.,specialization
287,Orator: Rank 6,While Well Rested your Wards and Force Fields gain +2 to their spellpower.,specialization
288,Orator: Rank 8,Increase the TN that foes must roll to avoid the negative effects of Bass Boost by +3,specialization
289,Orator: Rank 9,You may now expend a level of fatigue to target all creatures within hearing range for any of your sound based spells.,specialization
290,Outrider: Rank 1,Select a tamed creature to be your loyal mount. You may now mount and dismount this creature as a free action. Your mount also gains a +2 Hrt (Courage) focus.,specialization
291,Outrider: Rank 3,While mounted your defense increases by your mount's Dex attribute. Your mount's defense is unchanged.,specialization
292,Outrider: Rank 4,The time with your mount brings them to an Elite version of their species. (See Game Info/Creature Upgrade Table),specialization
293,Outrider: Rank 5,"The bond with your mount has deepened. When you make a mounted charge against a group of enemies, you may now make an attack against all of them. Your mount can also hear you when you call from up to 5 km away.",specialization
294,Outrider: Rank 6,When making a mounted charge attack add the Strength attribute modifier of your mount as bonus physical damage.,specialization
295,Outrider: Rank 7,The time with your mount brings them to a Heroic version of their species. (See Game Info/Creature Upgrade Table),specialization
296,Outrider: Rank 8,"If you are able to mount a creature you may attempt to make a Hrt (Animal Handling) test vs the creature's Str (Intimidation), Hrt (Self-Discipline), or Wis (Survival). If you succeed, the creature will allow you to remain mounted and follow your directions until you dismount.",specialization
297,Outrider: Rank 9,"You and your steed now combine attributes while mounted. (ex your Str is 5 and your steed's is 4, so while mounted you both have 9)",specialization
298,Pacifist: Rank 3,Gain +1 Defense towards all enemies that you have not attacked during a combat encounter.,specialization
299,Pacifist: Rank 4,"The peaceful look on your face results in many, except the most ruthless of enemies, to feel guilty when they attack you. Most opponents will talk to you while they attack you, and attempt to justify to themselves their actions. This may give you the information you need to convince them to choose peace.",specialization
300,Pacifist: Rank 5,"You may now initaiate Peace Talks as a minor action. Likewise, initaiting Peace Talks with the leader of a group will usually result in the combat encounter pausing while the leader talks to you.",specialization
301,Pacifist: Rank 6,"Upon failing Peace Talks due to a target requiring a specific condition or Cha focus, you may make a Hrt (Empathy) or Wis (Intuition) test vs the Target's Hrt (Morality) to learn more about the target.",specialization
302,Pacifist: Rank 7,"Convincing one member of a group to engage in Peace Talks, now has a chance to convince all members. Each member rolls a Hrt (Morality) test with a +3 vs your Charisma roll. Any who fail will also halt combat to talk it out.",specialization
303,Pacifist: Rank 8,"You may choose to spend more doubles points on Heartfelt Plea. For every additional doubles point spent, increase the Hrt (Morality) TN by 1.",specialization
304,Pacifist: Rank 9,Initiating Peace Talks with most characters is now guarenteed to result in a peaceful outcome. This does not apply to opponents who have special requirements to initiate Peace Talks with.,specialization
305,Paladin: Rank 1,Gain the fortune of your Constellation,specialization
306,Paladin: Rank 2,When interacting with other worshipers of your Constellation gain a bonus to your Charisma equal to your Hrt (faith) focus bonus.,specialization
307,Paladin: Rank 3,"Gain the favor of your Constellation, and one adept level spell from your constellation's element. If you follow no constellation, you can choose from any elemental spell.",specialization
308,Paladin: Rank 4,You may now cast spells of the same elemental type of your constellation with your Hrt (Faith) roll instead of Int (Elemancy).,specialization
309,Paladin: Rank 5,Gain the gift of your Constellation,specialization
310,Paladin: Rank 6,All damage from your melee or ranged weapons deals additional arcane damage equal to your Hrt+Faith bonus. This additional damage is elemental based on your Constellation's element.,specialization
311,Paladin: Rank 7,Gain the blessing of your Constellation,specialization
312,Paladin: Rank 8,Casting spells from your Constellation's element now cost 1/2 the required MP.,specialization
313,Pirate: Rank 3,When riding on a vessel you gain +2 Defense and +2 towards Per (Initiative) tests.,specialization
314,Pirate: Rank 4,"Attacking a prone, unconscious, inebriated, or otherwise incapacitated combatant grants you a bonus minor action once per turn.",specialization
315,Pirate: Rank 5,When dual weilding pistols and melee weapons your off weapon no longer suffers an attack penalty. Likewise your minor attacks now generate up to 2 dp per attack.,specialization
316,Pirate: Rank 6,"While aboard a vessel you captain, you gain +1 Cha (Leadership) and the entire crew gains +1 Dex and +1 Hrt.",specialization
317,Pirate: Rank 7,Damage dealt from vessel weaponry is doubled.,specialization
318,Pirate: Rank 8,You can now wield a shotgun one-handed. Firing a shotgun from one hand reduces your defense by 1 until your next turn.,specialization
319,Planes Walker: Rank 3,You are now more in tune with your astral mark. At night your mark glows with power. This power reduces the MP cost and TN of your Planes Walker spells by 1.,specialization
320,Planes Walker: Rank 5,You may now cast Warp Self as a minor action.,specialization
321,Planes Walker: Rank 6,While under the power of your Astral Mark at night you may attack with moving disks made from portals. Casting Gate as an attack will allow you to launch a portal in a single direction slicing into all enemies in that straight line path for 3d6 arcane damage for a total of 20m.,specialization
322,Planes Walker: Rank 8,"While your Warp Room is in effect, you may now exchange a number of creatures equal to your Wisdom modifier. (This number only increases for every even Wis value)",specialization
323,Planes Walker: Rank 9,You may now freely cast Gate without a TN and for 1/2 MP to open a gate somewhere you have previously opened a gate.,specialization
324,Potions Master: Rank 1,"Learn the recipes for all common potions and poisons. Also you can now drink potions, feed others potions, and apply poisons as a free action in combat.",specialization
325,Potions Master: Rank 3,Learn recipes for all uncommon potions,specialization
326,Potions Master: Rank 4,"Select a potion specialty: Utility, Healing, Poison. When brewing potions of this category, you can now brew double the batch with the same ingredients.",specialization
327,Potions Master: Rank 5,Learn recipies for all rare potions,specialization
328,Potions Master: Rank 6,"Take either Rank 4 for another potion type, or your previously chosen potion specialty now lets you brew triple the batch.",specialization
329,Potions Master: Rank 7,Learn recipies for all epic potions,specialization
330,Potions Master: Rank 8,"Take either Rank 4 for another potion type, or a previously chosen potion specialty now have double the duration of the effects.",specialization
331,Potions Master: Rank 9,Learn recipies for all legendary potions,specialization
332,Rampager: Rank 2,Deal an additional +1 damage for every creature slain while rampaging. This bonus resets once your rampaging state ends.,specialization
333,Rampager: Rank 3,"While rampaging, you may now choose to attack EITHER the creature that dealt the most damage to you in the last round (if you can see them) OR the closest creature to you. ",specialization
334,Rampager: Rank 4,You now automatically begin rampaging at the start of combat encounters as a free action. (You cannot stop this),specialization
335,Rampager: Rank 5,Your lvl 1 Rampaging bonus is now increased to +2d6 damage and +2 Accuracy,specialization
336,Rampager: Rank 6,While rampaging you may now perform an additional melee attack as a minor action. Minor attacks made in this way cannot generate dp.,specialization
337,Rampager: Rank 7,While rampaging you now gain advantage on all Str and End opposed tests vs another creature.,specialization
338,Rampager: Rank 8,Your lvl 1 Rampaging bonus is now increased to +3d6 damage and +3 Accuracy,specialization
339,Rampager: Rank 9,You are now always in a controlled rampaging state. Your rank 2 bonus damage only resets whenever you sleep. You can control your rampage as long as you have not been dealt damage.,specialization
340,Razor: Rank 1,You may now use both of your minor actions while in the dying state. ,specialization
341,Razor: Rank 3,While in a dying state your defense is increased by 3.,specialization
342,Razor: Rank 4,While in a dying state you may make all your actions as normal.,specialization
343,Razor: Rank 5,While in a dying state all your physical damage is considered to be penetrating,specialization
344,Razor: Rank 6,While in a dying state your physical and arcane armor is increased by 5.,specialization
345,Razor: Rank 7,While in a dying state Razor's Edge will not deal any damage to you.,specialization
346,Razor: Rank 8,Your defense while in a dying state is now boosted to +6.,specialization
347,Razor: Rank 9,While in the dying state your physical and arcane armor is increased by an additional 10.,specialization
348,Samurai: Rank 1,"When your blade is sheathed, and no other weapon is drawn,  gain +1 Def.  Drawing or sheathing the blade is considered to use the Activate action.",specialization
349,Samurai: Rank 3,"Stance Change - Enter or change a samurai stance as a minor action. Gain access to the following stances:

Ho Ryu (Fire stance) - Ignore the negative effects of the first 2 Fatigue Levels (Weary and Drained)

Tsu Ryu (Earth stance) - Your movement speed is halved, you gain +3 phys armor, and can't be knocked prone",specialization
350,Samurai: Rank 4,"Gain access to the following stances:

Mizu Ryu (Water stance) - Gain an additional +1 def (+2 total) when your blade is sheathed and your bow is unequiped.

Kaze Ryu (Wind stance) - You may make a second attack with your blade as a minor action or reload and fire a second arrow with your bow as a minor action. This second attack cannot generate doubles points.",specialization
351,Samurai: Rank 5,Attacking immediately after drawing your blade grants you +1 to hit and +2 damage. ,specialization
352,Samurai: Rank 6,"Gain access to the following stances:

Rai Ryu (Lightning stance) - When making a ranged attack with your bow you may fire two arrows in rapid succession. This may be used to bounce one arrow off of another to shoot around a corner.

Tetsu Ryu (Metal stance) - You can attack all enemies around you within the range of your blade with a single attack roll. Roll damage separately.  ",specialization
353,Samurai: Rank 7,You may now change samurai stances as a free action once per turn.,specialization
354,Samurai: Rank 8,"Gain access to the following stances:

Fuzai Ryu (Absence stance) - Ranged attacks with your bow deal arcane damage.

Kori Ryu (Ice stance) - Your movement speed is now doubled.",specialization
355,Seer: Rank 3,"You may now cast your Visionary arcana by using a Per (Seeing) test instead of Wis (Visionary), and vice-versa.",specialization
356,Seer: Rank 5,You are now obsured from the effects of others visionary arcana.,specialization
357,Seer: Rank 6,"You may now maintain your Scrying Orb spell and Far Scry as a free action, and cast spells through them. In order to cast spells through Far Scry, you must cast it with at least 2 senses.",specialization
358,Seer: Rank 8,Your visionary prowess allows you to predict attacks before you are hit. You may now add your Perception attribute modifier to your defense. ,specialization
359,Seer: Rank 9,"You have seen many things, your mind has sharpened, your will has strengthened, and you are now protected from the worst effects of opening your Wizard's Sight. Likewise, maintaining your Wizard's Sight is now a free action.",specialization
360,Shade: Rank 1,While in the absolute darkness gain +2 to Dex (Stealth) tests. Gain the ability to see in the dark up to 20 m if you cannot already.,specialization
361,Shade: Rank 4,While shrouded by darkness your damage rolls increase by 1d6,specialization
362,Shade: Rank 5,While in complete darkness your defense is increased by 2.,specialization
363,Shade: Rank 7,You may now cast Shadow Slip for 3 MP instead of 6.,specialization
364,Shade: Rank 8,Whenever you slay an enemy their corpse is dragged into a shadow dimension that you can freely remove them from later.,specialization
365,Shade: Rank 9,Performing major actions no longer breaks your invisibility.,specialization
366,Shaman: Rank 3,Fungal Exposure's range is now airborne (though it is still single target). It now has a base range of 10 meters from your location depending on wind speed and direction.,specialization
367,Shaman: Rank 4,"The fungus you grow on your body has evolved. 

Fungal Exposure now requires the target to pass a TN 15 End (Poison Res) test. Failure results in the target taking 3d6 poison damage in addition to losing a minor action on their next turn. ",specialization
368,Shaman: Rank 6,Your Fungal Exposure has now attracted small flies to your body. These flies can carry your fungus allowing it to be transmitted at a further range. Increase the range of Fungal Exposure to 50 meters.,specialization
369,Shaman: Rank 7,"The fungus you grow on your body has evolved. 

Fungal Exposure now requires the target to pass a TN 18 End (Poison Res) test. Failure results in the target taking 5d6 penetrating damage in addition to losing a minor action on their next turn. ",specialization
370,Shaman: Rank 9,"You may now cast Death Cap onto a large insectoid that you control (your flies do not count). Instead of concentrating, when the insectoid dies these spores are released infecting all targets within a 10m radius of the dead insectoid.",specialization
371,Shapeshifter: Rank 3,You may now cast Partial Transformation on yourself once per turn as a free action.,specialization
372,Shapeshifter: Rank 5,You now only require 1 hour of studying a creature before you can shapeshift into it.,specialization
373,Shapeshifter: Rank 6,Your mass is now able to shift when you transform. You may now grow a single size larger or smaller after transforming.,specialization
374,Shapeshifter: Rank 9,Your mass is now further able to shift when you transform. You may now grow up to two sizes larger or smaller after transforming.,specialization
375,Sniper: Rank 3,Landing a headshot with a projectile deals 3d6 bonus damage.,specialization
376,Sniper: Rank 4,You may now reload a longbow or warbow as a free action (once per turn) and a heavy crossbow or a rifle as a minor action.,specialization
377,Sniper: Rank 6,Long range attacks no longer suffer an attack penalty.,specialization
378,Sniper: Rank 7,"If you do not take a movement action on your turn, foes are at disadvantage to detecting your location.",specialization
379,Sniper: Rank 8,Any targeted attack with a projectile now deals 3d6 bonus damage. Stackable with rank 3.,specialization
380,Sniper: Rank 9,Laser Focus now grants +3 to hit a target and one of the following: 1) if hitting a foe at least 30 meters away. Auto reload after firing. 2) deal +2d6 extra damage.,specialization
381,Slayer: Rank 1,Designate a species/class of creature that you committed to slaying. When you roll doubles while fighting a creature in your designated species you generate 2 additional doubles points.,specialization
382,Slayer: Rank 3,"When fighting your designated species you deal 1d6 extra damage, and your attacks pierce armor.",specialization
383,Slayer: Rank 4,Your vengence extends to a second species/class of creature that you are committed to slaying. This species needs to be related to the original in some manner.,specialization
384,Slayer: Rank 5,"Whenever you finish an encounter where you have slain at least one of your designated species, you gain 1 conviction point. (max 1 per encounter)",specialization
385,Slayer: Rank 6,You now gain additional physical and arcane armor equal to your endurance when fighting against your designated species.,specialization
386,Slayer: Rank 7,"Gain + 3 towards any perception or targeting tests towards finding, attacking, or rolling initiative versus your designated species.",specialization
387,Slayer: Rank 8,Your rank 3 damage bonus increases to 3d6.,specialization
388,Slayer: Rank 9,You gain a third species/class of creature that you are committed to slaying. This species needs to be related to the original or second in some manner.,specialization
389,Sorcerer: Rank 4,"When firing your arcane bolt, you may choose to expend 2 extra MP to deal an additional 1d6 damage.",specialization
390,Sorcerer: Rank 5,Manipulate Arcane Bolt now doubles the effective range of the attack and will deal 1d6 bonus damage against wards.,specialization
391,Sorcerer: Rank 7,You may now use Arcane Bolt as a minor action.,specialization
392,Sorcerer: Rank 8,The Fierce Bolt stunt can now be used in conjunction with Arcane Blast (and Arcane Cannon once you reach rank 9),specialization
393,Spellsword: Rank 3,"Choose one of your novice level Spellsword spells to permanently imbue into a weapon of your choice. When using this weapon, you may cast the spell imbued into it without needing to make an ability test, however MP will still be consumed. You may only have one imbued weapon at a time.",specialization
394,Spellsword: Rank 5,Add 1/2 of your Wisdom attribute modifier as arcane damage when making a melee attack with your weapon.,specialization
395,Spellsword: Rank 6,"Choose one of your adept level spellsword spells to permanently imbue into a weapon of your choice. When using this weapon, you may cast the spell imbued into it without needing to make an ability test, however MP will still be consumed. You may only have one imbued weapon at a time. Can be stacked with your novice level imbue.",specialization
396,Spellsword: Rank 8,You may now add all of your Wisdom attribute modifier as arcane damage when making a melee attack with your weapon and add 1/2 of your intelligence modifier towards your attack rolls.,specialization
397,Spellsword: Rank 9,"Choose one of your master level spellsword spells to permanently imbue into a weapon of your choice. When using this weapon, you may cast the spell imbued into it without needing to make an ability test, however MP will still be consumed. You may only have one imbued weapon at a time. Can be stacked with your novice and adept level imbues.",specialization
398,Thief: Rank 1,Foes with more credits than you suffer a -2 penalty towards perception checks vs your stealth.,specialization
399,Thief: Rank 3,"You can now climb at your normal movement speed, and do not need to make a roll for climbing in urban environments. Likewise when sneaking in an urban evironment you get a +3 to your Dex (Stealth) test.",specialization
400,Thief: Rank 4,You are now able to fence stolen goods to any merchant you deal with. ,specialization
401,Thief: Rank 8,"You can now steal a single roll of an opponent, and you must use this as your next test roll. They will then have to reroll the stolen result. You must make a long or short rest before using this ability again.",specialization
402,Thief: Rank 9,Finder's keepers. Other people now view the items you steal as officially belonging to you. This applies to everyone but the original owner.,specialization
403,Trickster: Rank 1,You have upset quite a few people over the years and know how to get yourself out of trouble. Gain +2 towards any Cha (Deception) tests to talking your way out of any aggressive non-combat situation.,specialization
404,Trickster: Rank 4,When casting any illusion spell you may add your Deception focus bonus for spell casting.,specialization
405,Trickster: Rank 6,Once per day you may cast any single Illusion spell without spending MP.,specialization
406,Trickster: Rank 7,The trickster cannot be tricked. You have the uncanny ability to tell when someone is knowingly deceiving you. You may roll a Cha (Deception) test instead of a Hrt (Empathy) test to determine if someone is lying to you. ,specialization
407,Trickster: Rank 9,"Your illusion spells now last a number of minutes equal to your Charisma and Cha(Deception) modifier, and during this duration do not require concentration.",specialization
408,Warlock: Rank 3,You may now Cast Séance and Summon Tool as minor actions to gain information and insight during combat.,specialization
409,Warlock: Rank 5,You gain an additional (more powerful) tool of your Patron's that you may summon with the Summon Tool spell. When you cast the spell you may choose which tool to summon.,specialization
410,Warlock: Rank 6,"You may choose to call on more or less of your Patron's power when casting Warlock spells. If you want more power, you will be at a disadvantage to resisting them, less power gives you advantage to resisting them. This also applies to any servants, steeds, or tools you have summoned. (discuss with the GM how to adjust the power)",specialization
411,Warlock: Rank 8,"You may now cast Patron's Possession for 4 MP instead of 8, and Summon Tool and Séance become a free actions to cast once per turn.",specialization
412,Warlock: Rank 9,"Your Patron has acknowledged your strength and will no longer attemt to fight against you, manipulate you, or hide things from you. They still may not obey all your commands when you summon them though.",specialization
413,Witch / Wizard: Rank 5,"Select a single Novice level spell that you have learned. You may now cast that spell at an action less than before. Major to Minor, or Minor to Free. (Free action spells may only be cast once per turn as a free action).",specialization
414,Witch / Wizard: Rank 6,You may now store up to 30 Mp into your arcane nucleus when using Arcane Storage.,specialization
415,Witch / Wizard: Rank 8,"Select a single Adept level spell that you have learned. You may now cast that spell at an action less than before. Major to Minor, or Minor to Free.  (Free action spells may only be cast once per turn as a free action)",specialization
416,Witch / Wizard: Rank 9,Gain access to and learn any 1 spell of your choice regardless of specialization requirement.,specialization
417,Animal Taming: Rank 1,"You may attempt to tame any one creature considered to be a Minor threat (or less), taming takes at least a week. This requires a Hrt (Animal Handling) test. You may teach this creature to perform commands. The time it takes them to learn new commands depends on the complexity. (GM discretion)",talents
418,Animal Taming: Rank 2,"You may now travel with a number of tamed creatures equal to 1/2 your Heart attribute rounded down.

You are now able to tame creatures considered to be Moderate threats (if they are willing).",talents
419,Animal Taming: Rank 3,"Gain advantage whenever you roll Hrt (Animal Handling) tests.

You are now able to tame creatures considered to be Major threats (if they are willing).",talents
420,Appraisal: Rank 2,"Select one of the following categories to gain a +1 bonus of evaluating goods of that category. 
Ores/Metals, Luxury Goods, Arms/Armor, Machinery
(this rank can be taken more than once)",talents
421,Appraisal: Rank 3,Gain advantage whenever you roll Wis (Evaluation) tests.,talents
422,Archeology: Rank 1,You are able to tell the general origin or purpose of any ruin or artifact you find.,talents
423,Archeology: Rank 2,"Gain +2 towards any test related to History, ruins, or the ancient past",talents
424,Archeology: Rank 3,Your knowledge of forbidden history has helped you unlock the secrets of ancient technology. If you roll a TN 17 Wis (Evaluation) test you are able to determine the exact use and purpose of the ancient technology that you are studing.,talents
425,Brawling: Rank 1,Your punches/kicks deal 1d6 + Str damage instead of 1d3 + Str damage.,talents
426,Brawling: Rank 2,You can now perform the knock prone stunt for 1 less doubles point while using a brawling weapon or unarmed. If you did not have access to the knock prone stunt you do now while brawling.,talents
427,Brawling: Rank 3,Gain +2 towards your targeting attacks when fighting with punches/kicks,talents
428,Brewing: Rank 1,"After tasting any non potion beverage you may roll a TN 15 Int (Brewing) test, if you are successful you learn the ingredients and brewing method to replicate the drink exactly.",talents
429,Brewing: Rank 2,"You are able to brew any common potion or alcoholic beverage without the necessary tools or brewing kit. As long as you have access to the ingredients, a heat source, and a bottle.",talents
430,Brewing: Rank 3,Gain advantage whenever you roll Int (Brewing) tests.,talents
431,Bullying: Rank 1,"When you succeed an intimidation test against a character that you have at least 3 more Str than, they will give you their entire wallet's amount in credits.",talents
432,Bullying: Rank 2,"If you succeed an intimidation test against a character that you have 3 more intelligence than, that character can then be convinced to become your lackey. To make them a permanent lackey, you must roll a Cha (Leadership) test.",talents
433,Bullying: Rank 3,Gain advantage whenever you roll Str (Intimidation) tests.,talents
434,Business: Rank 1,Pick a category of goods. When you are buying or selling goods of this type you will get a 25% discount or make 25% more credits.,talents
435,Business: Rank 2,Your business skills are top notch if you succeed a successful TN 18 Cha (Bargaining) test you may convince the character you are bargaining with to become an investor in your business.,talents
436,Business: Rank 3,Gain advantage whenever you roll Cha (Bargaining) tests.,talents
437,Camping: Rank 1,"When making a long rest away from civilization you are still able to become well rested even if you have to take watch. Must still get at least 8 total hours of sleep, but it can be interrupted for your watch duty.",talents
